country	year	ddd.per.thousand	sector	atc	notes
Hungary	2015	0.12	AC	J01CE	NA
Iceland	2015	1.9	AC	J01CE	NA
Ireland	2015	1.05	AC	J01CE	NA
Italy	2015	NA	AC	J01CE	reported.zero
Latvia	2015	0.07	AC	J01CE	NA
Liechtenstein	2015	NA	AC	J01CE	missing.data
Lithuania	2015	0.13	AC	J01CE	NA
Luxembourg	2015	0.01	AC	J01CE	NA
Malta	2015	0.11	AC	J01CE	NA
Netherlands	2015	0.23	AC	J01CE	NA
Norway	2015	3.24	AC	J01CE	NA
Poland	2015	0.34	AC	J01CE	NA
Portugal	2015	0.01	AC	J01CE	NA
Romania	2015	0.87	AC	J01CE	pc.hosp.total
Slovakia	2015	1.26	AC	J01CE	NA
Slovenia	2015	1.51	AC	J01CE	NA
Spain	2015	0.07	AC	J01CE	NA
Sweden	2015	3.19	AC	J01CE	NA
United Kingdom	2015	0.84	AC	J01CE	NA
Austria	2015	0.01	AC	J01CF	NA
Belgium	2015	0.25	AC	J01CF	NA
Bulgaria	2015	NA	AC	J01CF	reported.zero
Croatia	2015	0.01	AC	J01CF	NA
Cyprus	2015	0.02	AC	J01CF	pc.hosp.total
Czech Republic	2015	0.05	AC	J01CF	NA
Denmark	2015	1.38	AC	J01CF	NA
Estonia	2015	NA	AC	J01CF	reported.zero
Finland	2015	0.05	AC	J01CF	NA
France	2015	0.21	AC	J01CF	NA
Germany	2015	0.01	AC	J01CF	NA
Greece	2015	NA	AC	J01CF	reported.zero
Hungary	2015	NA	AC	J01CF	reported.zero
Iceland	2015	0.86	AC	J01CF	NA
Ireland	2015	2.25	AC	J01CF	NA
Italy	2015	0.01	AC	J01CF	NA
Latvia	2015	NA	AC	J01CF	reported.zero
Liechtenstein	2015	NA	AC	J01CF	missing.data
Lithuania	2015	NA	AC	J01CF	reported.zero
Luxembourg	2015	0.14	AC	J01CF	NA
Malta	2015	0.01	AC	J01CF	NA
Netherlands	2015	0.43	AC	J01CF	NA
Norway	2015	0.64	AC	J01CF	NA
Poland	2015	0.01	AC	J01CF	NA
Portugal	2015	0.44	AC	J01CF	NA
